year,mileage,trim,is_amg,is_wagon,is_coupe,is_cabriolet,is_sedan,is_manual,price
2008.0,34000.0,C300,0,0,0,0,1,1,1650003172025
2005.0,37500.0,C55,1,0,0,0,1,0,1375003172025
2018.0,4000.0,C63,1,0,0,0,1,0,5150003132025
2014.0,30500.0,C250,0,0,0,0,1,0,720003132025
2005.0,37500.0,C55,1,0,0,0,1,0,1550003102025
2000.0,32000.0,C230,0,0,0,0,1,0,280002272025
2010.0,41000.0,C300,0,0,0,0,1,0,970002262025
2009.0,25000.0,C63,1,0,0,0,1,0,1900002252025
2012.0,46000.0,C250,0,0,0,0,1,0,970002212025
2002.0,38000.0,C320,0,0,0,0,1,0,500002192025
1998.0,22000.0,C43,1,0,0,0,1,0,470002132025
2009.0,25000.0,C63,1,0,0,0,1,0,2350002122025
1995.0,30000.0,C280,0,0,0,0,1,0,745802062025
2014.0,30500.0,C250,0,0,0,0,1,0,1109102052025
2012.0,8500.0,C63,1,0,0,0,1,0,7700002032025
2010.0,37000.0,C350,0,0,0,0,1,0,1250001282025
2012.0,1200.0,C63,1,0,0,0,1,0,17300001272025
2003.0,40000.0,C32,1,0,0,0,1,0,735001232025
2004.0,39000.0,C32,1,0,0,0,1,0,1825501132025
2005.0,37500.0,C55,1,0,0,0,1,0,830001072025
1998.0,22000.0,C43,1,0,0,0,1,0,627501032025
2007.0,36000.0,C230,0,0,0,0,1,0,820012262024
2019.0,13000.0,C63,1,0,1,0,0,0,6050012202024
2002.0,30500.0,C32,1,0,0,0,1,0,943212172024
2004.0,30500.0,C320,0,0,0,0,1,0,340012152024
1999.0,19000.0,C280,0,0,0,0,1,0,1225012122024
2013.0,6542.5,C250,0,0,0,0,1,0,960012122024
1996.0,8000.0,C220,0,0,0,0,1,0,670012102024
2012.0,5000.0,C63,1,0,1,0,0,0,4000012032024
2004.0,30500.0,C320,0,1,0,0,0,0,730011292024
2004.0,38000.0,C240,0,0,0,0,1,0,690011292024
1999.0,35500.0,C230,0,0,0,0,1,0,641911212024
2005.0,37500.0,C55,1,0,0,0,1,0,1250011212024
2014.0,14000.0,C63,1,0,0,0,1,0,3950011192024
